482-135|25|92,139|25|94,146|25|96,150|25|99,153|25|102,157|25|104,160|25|107,164|25|109,167|25|112,171|25|115,175|25|119,178|25|123,182|25|126,185|25|130,189|25|134,192|25|140,196|25|143,200|25|147,203|25|152,207|25|156,210|25|161,214|25|167,217|25|172,221|25|175,225|25|180,228|25|185,232|25|190,235|25|194,239|25|198,242|25|201,250|25|204,253|25|208,257|25|212,260|25|215,264|25|218,264|26|219,267|26|222,271|26|225,275|26|228,278|26|232,282|26|235,285|26|238,289|26|241,292|26|244,292|27|247,300|27|248,303|27|251,307|27|254,310|27|256,314|27|260,317|27|263,325|27|265,328|27|268,332|27|271,335|27|274,335|29|275,342|29|275,346|29|280,350|29|282,353|29|286,357|29|288,364|29|292,367|29|296,371|29|300,375|29|305,375|30|306,378|30|308,382|30|314,385|30|319,389|30|325,392|30|330,396|30|337,400|30|343,403|30|351,407|30|361,410|30|370,414|30|377,417|30|385,417|31|388,421|31|392,425|31|401,428|31|413,432|31|421,435|31|433,439|31|448,442|31|463,446|31|481,450|31|500,453|31|517,453|31|538,457|31|568,460|31|589,464|31|603,467|31|623,467|31|652,471|31|672,475|31|699,478|31|719,478|31|742,482|31|799
617-242|26|186,246|25|188,253|25|192,257|25|194,260|25|196,264|25|198,267|25|201,275|25|203,278|25|206,282|25|208,285|25|210,289|25|212,296|25|213,300|25|216,303|25|218,307|25|220,314|25|222,317|25|224,321|25|227,325|25|229,328|25|230,335|25|233,339|25|235,342|25|238,346|25|240,350|25|243,353|25|245,360|25|247,364|25|248,367|25|252,371|25|254,375|25|256,382|25|258,385|25|260,389|25|262,392|25|265,396|25|267,403|25|269,407|25|271,410|25|273,414|25|276,417|25|278,425|25|281,428|25|284,432|25|286,435|25|289,439|25|291,442|25|295,446|25|298,450|25|302,450|23|304,457|23|305,460|23|309,464|23|313,467|23|319,471|23|325,475|23|331,478|23|339,482|23|348,485|23|360,489|23|376,492|23|387,496|23|397,500|23|405,503|23|414,507|23|425,510|23|436,514|23|446,517|23|457,517|22|465,521|22|469,525|22|479,528|22|488,532|22|497,535|22|505,539|22|511,542|22|518,546|22|525,550|22|533,553|22|538,553|21|543,560|21|543,564|21|552,567|21|560,571|21|571,575|21|581,578|21|590,582|21|602,585|21|616,585|20|626,589|20|631,592|20|652,596|20|672,600|20|692,600|20|731,603|20|757,607|20|777,610|20|793,614|20|803,617|20|829
660-321|17|161,328|17|163,332|17|165,335|17|167,339|17|169,346|17|172,350|17|175,350|16|176,353|16|177,360|16|179,364|16|181,367|16|184,371|16|187,378|16|189,382|16|192,385|16|195,389|16|197,392|16|200,392|14|201,400|14|202,403|14|207,407|14|210,410|14|213,414|14|217,417|14|220,421|14|227,425|14|230,425|13|235,428|13|236,432|13|244,435|13|251,439|13|261,442|13|270,446|13|278,450|13|284,453|13|292,457|13|301,460|13|310,460|12|314,464|12|314,471|12|321,475|12|326,478|12|331,482|12|337,485|12|342,489|12|346,489|11|349,492|11|350,500|11|354,503|11|359,507|11|363,510|11|366,514|11|370,517|11|374,521|11|378,525|11|383,528|11|385,532|11|389,535|11|393,539|11|397,542|11|402,546|11|406,550|11|410,553|11|414,557|11|418,560|11|423,564|11|428,567|11|432,571|11|436,575|11|439,578|11|443,582|11|448,585|11|454,589|11|460,589|10|463,592|10|465,596|10|472,600|10|480,603|10|493,607|10|507,610|10|520,614|10|530,617|10|543,617|9|545,621|9|554,625|9|571,628|9|586,632|9|602,635|9|618,639|9|632,642|9|659,642|9|756,646|9|841,646|9|879,646|9|884,650|9|906,653|9|930,657|9|957,657|9|1009,660|9|1053
575-253|20|177,257|20|180,260|20|183,260|19|184,267|19|185,271|19|187,278|19|190,282|19|192,285|19|196,285|18|197,292|18|198,296|18|201,300|18|203,303|18|206,310|18|210,314|18|213,317|17|217,321|17|219,325|17|224,328|17|228,332|17|232,335|17|236,339|17|240,342|17|243,342|15|245,346|15|248,350|15|252,353|15|255,357|15|259,360|15|262,364|15|266,367|15|270,371|15|274,371|14|275,378|14|279,382|14|282,385|14|288,389|14|293,392|14|298,396|13|302,400|13|306,403|13|312,407|13|317,410|13|323,414|13|328,414|11|329,417|11|331,421|11|337,425|11|344,428|11|349,432|11|353,432|10|354,439|10|357,442|10|362,446|10|366,450|10|373,453|10|377,453|8|377,457|8|382,460|8|388,464|8|394,467|8|402,467|7|408,471|7|410,475|7|417,478|7|425,482|7|437,482|6|446,489|6|447,492|6|456,496|6|464,500|6|475,503|6|487,507|5|496,510|5|509,514|5|524,517|5|546,521|5|573,525|5|590,525|5|603,525|4|612,528|4|618,532|4|639,535|4|660,539|4|681,542|4|696,546|4|712,546|3|714,550|3|731,553|3|754,553|3|788,557|3|825,557|3|843,560|3|848,564|3|875,564|3|914,567|3|952,567|2|972,571|2|977,575|2|1003
521-142|22|146,146|22|148,153|22|151,157|22|154,160|22|156,164|20|158,167|20|161,171|20|163,178|20|165,182|20|167,185|20|169,189|20|171,196|20|174,200|20|176,200|19|177,207|19|178,210|19|180,214|19|183,221|19|185,225|19|187,228|19|190,232|19|192,235|19|194,242|17|196,246|17|199,250|17|202,253|17|205,257|17|207,260|17|209,267|17|211,271|17|214,275|17|216,278|17|219,282|17|221,289|17|222,292|17|225,296|17|228,296|16|229,303|16|230,310|16|233,314|16|235,317|16|238,321|16|240,325|16|244,328|16|247,332|16|249,335|16|252,339|16|255,342|16|258,346|16|262,350|16|265,357|16|266,360|14|269,364|14|273,367|14|276,371|14|279,375|14|282,378|14|284,382|14|288,385|14|291,389|14|295,392|14|297,396|14|302,400|14|304,403|14|307,407|14|312,410|14|315,414|14|318,417|14|322,421|14|326,421|13|329,428|13|330,432|13|335,435|13|339,439|13|343,442|13|347,446|13|351,450|13|356,453|13|360,457|13|365,460|13|369,464|13|373,467|13|377,471|13|381,475|13|386,478|12|391,482|12|394,485|12|399,489|12|404,492|12|410,496|12|415,500|12|421,503|12|427,507|12|436,510|12|449,510|11|458,514|11|467,517|11|526,521|11|668,521|11|692
592-203|21|123,207|21|126,207|19|127,214|19|127,217|19|130,225|19|132,228|19|135,232|19|137,235|19|140,239|19|142,242|19|143,250|18|147,267|18|160,271|18|163,275|18|166,282|18|167,282|16|168,289|16|169,292|16|172,296|16|174,303|16|177,307|16|179,310|16|181,314|16|184,317|16|186,321|16|189,325|16|192,325|15|194,332|15|195,339|15|197,342|15|200,346|15|204,350|15|208,353|15|210,357|15|214,360|15|217,364|15|220,367|14|223,371|14|227,375|14|229,378|14|232,382|14|236,385|14|238,389|14|242,392|14|244,400|14|247,403|13|249,407|13|253,410|13|255,414|13|259,417|13|261,425|13|264,428|13|267,432|13|270,432|12|272,435|12|273,442|12|276,446|12|279,450|12|281,453|12|284,457|12|287,460|12|290,464|10|292,471|10|295,475|10|298,478|10|301,482|10|303,485|10|306,489|10|308,492|10|311,492|9|313,500|9|314,503|9|317,507|9|319,514|9|321,517|9|324,521|9|327,525|9|330,528|9|333,528|8|334,532|8|336,535|8|339,539|8|343,542|8|347,546|8|350,553|8|354,557|8|358,560|8|362,560|7|366,564|7|367,567|7|372,571|7|377,575|7|382,578|7|389,582|7|398,582|6|406,585|6|413,589|6|430,592|6|477,592|6|746
453-110|22|60,114|22|62,117|22|66,121|22|69,125|22|72,128|22|74,132|22|77,135|21|80,142|21|83,146|21|85,150|21|88,153|21|91,157|21|93,160|21|96,164|20|98,171|20|101,175|20|104,178|20|106,182|20|109,185|20|111,189|20|113,189|18|114,196|18|116,200|18|119,203|18|123,207|18|125,210|18|128,210|17|129,217|17|131,221|17|134,225|17|138,228|17|141,228|16|143,235|16|144,239|16|147,242|16|150,246|16|154,250|16|156,253|16|159,257|16|161,257|15|163,264|15|164,271|15|167,275|15|170,278|15|173,282|15|176,282|13|178,285|13|178,292|13|182,296|13|185,300|13|189,303|13|194,307|13|199,307|12|203,310|12|205,314|12|211,317|12|219,321|12|225,325|12|232,328|12|241,328|11|246,332|11|250,335|11|258,339|11|263,342|11|272,346|11|278,350|10|285,353|10|290,357|10|295,360|10|300,364|10|305,367|10|311,371|9|317,375|9|322,378|9|329,382|9|335,385|9|343,389|9|347,392|9|353,392|8|357,396|8|358,403|8|363,407|8|370,410|8|375,414|8|380,417|8|384,421|8|389,421|7|394,425|7|397,428|7|405,432|7|413,435|7|421,439|7|442,439|7|488,439|7|519,442|7|523,446|7|552,450|7|598,450|7|663,453|7|680
575-103|18|101,110|18|102,117|18|103,125|18|105,128|18|106,139|16|107,142|16|109,150|16|110,157|16|111,164|16|112,171|16|113,175|16|115,182|16|116,189|16|117,196|16|118,203|16|119,207|16|121,214|16|122,221|16|123,228|14|124,235|14|125,242|14|127,250|14|128,253|14|130,260|14|131,267|14|132,275|14|133,278|14|135,285|14|136,292|14|136,296|14|139,300|14|141,307|14|142,314|14|144,317|14|145,325|14|147,328|14|149,335|14|151,339|14|152,346|13|154,350|13|156,353|13|158,357|13|160,364|13|162,367|13|164,371|13|166,375|13|169,378|13|171,389|13|177,392|13|179,396|12|182,400|12|185,403|12|188,414|12|206,425|12|222,428|12|225,432|12|232,432|11|236,435|11|239,439|11|243,442|11|248,446|11|252,450|11|257,453|11|263,457|11|266,460|10|271,464|10|276,467|10|281,471|10|287,475|10|291,478|9|296,482|9|300,485|9|306,489|9|313,492|9|319,496|9|322,500|9|327,503|9|332,503|7|333,510|7|337,514|7|341,517|7|345,521|7|348,525|7|353,525|6|355,528|6|358,532|6|363,535|6|367,539|6|371,542|6|375,546|5|381,550|5|386,553|5|393,557|5|402,560|5|413,564|5|423,567|5|437,567|4|440,571|4|454,575|4|476
850-407|19|197,414|19|199,421|19|199,428|19|202,432|19|203,439|19|205,442|19|207,450|19|208,453|19|210,460|19|211,467|19|213,467|17|214,471|17|214,478|17|216,485|17|217,492|17|219,496|17|221,503|17|222,507|17|224,514|17|226,517|17|227,525|17|229,528|17|230,535|17|232,539|16|234,546|16|236,550|16|238,553|16|240,560|16|241,564|16|244,567|16|246,575|16|248,578|16|250,585|16|251,589|16|254,592|16|256,596|16|258,603|16|260,607|16|261,614|16|263,614|14|264,621|14|265,625|14|267,632|14|269,635|14|271,639|14|273,642|14|275,650|14|277,653|14|279,657|14|281,664|14|281,667|13|284,675|13|285,678|13|288,682|13|290,685|13|292,692|13|293,696|13|296,703|13|298,707|13|300,710|13|302,714|13|304,721|13|306,725|13|309,728|11|311,732|11|314,735|11|317,739|11|319,746|11|321,750|11|324,753|11|327,757|11|330,760|11|333,764|10|336,767|10|339,771|10|342,775|10|346,778|10|349,782|10|353,785|10|357,789|10|362,792|10|367,796|10|373,800|10|378,800|9|379,807|9|383,810|9|390,814|9|397,817|9|403,821|9|410,825|9|417,828|9|421,828|8|428,832|8|429,835|8|440,839|8|454,842|8|464,846|8|481,850|8|516,850|8|685
732-346|15|223,350|15|224,353|15|226,360|15|228,364|14|230,367|14|232,375|14|234,378|14|235,382|14|238,385|14|240,392|14|243,396|14|246,400|14|248,400|12|249,407|12|249,410|12|252,414|12|255,417|12|259,425|12|261,428|12|264,432|12|265,439|11|268,442|11|272,446|11|274,450|11|276,453|11|278,457|11|281,464|11|284,464|9|285,467|9|287,471|9|289,478|9|291,482|9|293,485|9|296,489|9|298,492|9|300,500|8|302,503|8|304,507|8|306,514|8|308,517|8|310,521|8|311,528|8|313,532|7|315,539|7|316,546|7|318,550|7|319,553|7|322,560|7|323,564|7|325,571|7|327,575|7|329,578|7|330,585|5|332,592|5|334,596|5|336,600|5|338,603|5|340,610|5|342,614|5|344,617|5|348,621|5|351,625|5|354,628|5|357,632|5|361,635|5|367,639|4|376,642|4|389,646|4|404,650|4|418,653|4|444,653|4|480,657|4|542,657|4|578,657|3|587,660|3|603,664|3|620,667|3|632,671|3|643,671|2|651,678|2|651,682|2|658,685|2|669,689|2|681,692|2|696,696|2|707,696|1|716,700|1|724,703|1|739,707|1|756,710|1|774,714|1|786,714|0|795,717|0|801,721|0|825,721|0|853,725|0|881,728|0|914,728|0|922,732|0|964
